operator,technology,enb_id,sector_id,cell_id,pci,channel_number,longitude,latitude,height_m,azimuth_deg
A,LTE,624,12,159756,37,1700,16.36875975498344,48.20203310870481,32,195.0
A,LTE,3534,21,904725,285,1871,16.36752007988875,48.19003310326909,58,20.0
A,LTE,3534,11,904715,285,1700,16.36752007988875,48.19003310326909,58,20.0
A,LTE,3534,6,904710,285,6250,16.36752007988875,48.19003310326909,58,20.0
A,LTE,471,13,120589,215,1700,16.386905723762982,48.193859757517,34,265.0
A,LTE,471,23,120599,215,1871,16.386905723762982,48.193859757517,34,265.0
A,LTE,471,8,120584,215,6250,16.386905723762982,48.193859757517,34,265.0
A,LTE,7792,11,1994763,450,1700,16.379494622652626,48.1881406303067,38,70.0
A,LTE,7792,21,1994773,450,1871,16.379494622652626,48.1881406303067,38,70.0
A,LTE,7792,12,1994764,451,1700,16.379494622652626,48.1881406303067,38,240.0
A,LTE,7792,22,1994774,451,1871,16.379494622652626,48.1881406303067,38,240.0
A,LTE,7792,6,1994758,450,6250,16.379494622652626,48.1881406303067,38,70.0
A,LTE,7792,8,1994760,452,6250,16.379494622652626,48.1881406303067,38,320.0
A,LTE,7792,13,1994765,452,1700,16.379494622652626,48.1881406303067,38,320.0
A,LTE,7792,23,1994775,452,1871,16.379494622652626,48.1881406303067,38,320.0
A,LTE,533,21,136469,369,1871,16.373664556445775,48.18746986362317,27,340.0
A,LTE,533,11,136459,369,1700,16.373664556445775,48.18746986362317,27,340.0
A,LTE,533,6,136454,369,6250,16.373664556445775,48.18746986362317,27,340.0
A,LTE,533,7,136455,370,6250,16.373664556445775,48.18746986362317,27,230.0
A,LTE,3534,7,904711,286,6250,16.36752007988875,48.19003310326909,58,155.0
A,LTE,7792,7,1994759,451,6250,16.379494622652626,48.1881406303067,38,240.0
A,LTE,533,8,136456,371,6250,16.373664556445775,48.18746986362317,27,190.0
A,LTE,533,13,136461,371,1700,16.373664556445775,48.18746986362317,27,190.0
A,LTE,533,23,136471,371,1871,16.373664556445775,48.18746986362317,27,190.0
A,LTE,533,12,136460,370,1700,16.373664556445775,48.18746986362317,27,230.0
A,LTE,471,12,120588,214,1700,16.386905723762982,48.193859757517,34,115.0
A,LTE,471,22,120598,214,1871,16.386905723762982,48.193859757517,34,115.0
A,LTE,471,7,120583,214,6250,16.386905723762982,48.193859757517,34,115.0
A,LTE,471,11,120587,213,1700,16.386905723762982,48.193859757517,34,40.0
A,LTE,471,21,120597,213,1871,16.386905723762982,48.193859757517,34,40.0
A,LTE,471,6,120582,213,6250,16.386905723762982,48.193859757517,34,40.0
A,LTE,6751,22,1728278,8,1871,16.3023023901166,48.21373100663463,31,295.0
A,LTE,460,23,117783,458,1871,16.305778870273915,48.210163251367774,31,215.0
A,LTE,6751,12,1728268,8,1700,16.3023023901166,48.21373100663463,31,295.0
A,LTE,460,13,117773,458,1700,16.305778870273915,48.210163251367774,31,215.0
A,LTE,410,13,104973,41,1700,16.320592089341837,48.21891458387113,33,295.0
A,LTE,460,8,117768,458,6250,16.305778870273915,48.210163251367774,31,215.0
A,LTE,6751,21,1728277,7,1871,16.3023023901166,48.21373100663463,31,200.0
A,LTE,6751,11,1728267,7,1700,16.3023023901166,48.21373100663463,31,200.0
A,LTE,531,8,135944,434,6250,16.290031403308358,48.20685866570239,31,325.0
A,LTE,531,23,135959,434,1871,16.290031403308358,48.20685866570239,31,325.0
A,LTE,531,6,135942,432,6250,16.290031403308358,48.20685866570239,31,70.0
A,LTE,3942,8,1009160,353,6250,16.29476552486623,48.20398493961936,27,280.0
A,LTE,531,13,135949,434,1700,16.290031403308358,48.20685866570239,31,325.0
A,LTE,3942,23,1009175,353,1871,16.29476552486623,48.20398493961936,27,280.0
A,LTE,3942,13,1009165,353,1700,16.29476552486623,48.20398493961936,27,280.0
A,LTE,531,21,135957,432,1871,16.290031403308358,48.20685866570239,31,70.0
A,LTE,531,11,135947,432,1700,16.290031403308358,48.20685866570239,31,70.0
A,LTE,531,22,135958,433,1871,16.290031403308358,48.20685866570239,31,195.0
A,LTE,531,7,135943,433,6250,16.290031403308358,48.20685866570239,31,195.0
A,LTE,531,12,135948,433,1700,16.290031403308358,48.20685866570239,31,195.0
A,LTE,3942,11,1009163,351,1700,16.29476552486623,48.20398493961936,27,80.0
A,LTE,3942,21,1009173,351,1871,16.29476552486623,48.20398493961936,27,80.0
A,LTE,3942,6,1009158,351,6250,16.29476552486623,48.20398493961936,27,80.0
A,LTE,460,12,117772,457,1700,16.305778870273915,48.210163251367774,31,205.0
A,LTE,460,22,117782,457,1871,16.305778870273915,48.210163251367774,31,205.0
A,LTE,460,6,117766,456,6250,16.305778870273915,48.210163251367774,31,360.0
A,LTE,460,21,117781,456,1871,16.305778870273915,48.210163251367774,31,360.0
A,LTE,460,11,117771,456,1700,16.305778870273915,48.210163251367774,31,360.0
A,LTE,460,7,117767,457,6250,16.305778870273915,48.210163251367774,31,205.0
A,LTE,541,13,138509,221,1700,16.312695897977125,48.201164939167676,35,320.0
A,LTE,541,23,138519,221,1871,16.312695897977125,48.201164939167676,35,320.0
A,LTE,3942,12,1009164,352,1700,16.29476552486623,48.20398493961936,27,160.0
A,LTE,3942,22,1009174,352,1871,16.29476552486623,48.20398493961936,27,160.0
A,LTE,3942,7,1009159,352,6250,16.29476552486623,48.20398493961936,27,160.0
A,LTE,922,11,236043,387,1700,16.293525849771463,48.19825496704504,19,20.0
A,LTE,922,21,236053,387,1871,16.293525849771463,48.19825496704504,19,20.0
A,LTE,922,22,236054,388,1871,16.293525849771463,48.19825496704504,19,125.0
A,LTE,922,12,236044,388,1700,16.293525849771463,48.19825496704504,19,125.0
A,LTE,4387,8,1123080,71,6250,16.29801742620207,48.196470581397485,31,260.0
A,LTE,4387,21,1123093,69,1871,16.29801742620207,48.196470581397485,31,70.0
A,LTE,4387,11,1123083,69,1700,16.29801742620207,48.196470581397485,31,70.0
A,LTE,4387,13,1123085,71,1700,16.29801742620207,48.196470581397485,31,260.0
A,LTE,4387,6,1123078,69,6250,16.29801742620207,48.196470581397485,31,70.0
A,LTE,541,8,138504,221,6250,16.312695897977125,48.201164939167676,35,320.0
A,LTE,410,8,104968,41,6250,16.320592089341837,48.21891458387113,33,295.0
A,LTE,526,12,134668,28,1700,16.310387227691475,48.225719476784725,33,130.0
A,LTE,472,8,120840,245,6250,16.32270313026432,48.21037277406511,33,290.0
A,LTE,472,23,120855,245,1871,16.32270313026432,48.21037277406511,33,290.0
A,LTE,520,7,133127,136,6250,16.346526451652313,48.18930846207201,31,105.0
A,LTE,520,22,133142,136,1871,16.346526451652313,48.18930846207201,31,105.0
A,LTE,520,12,133132,136,1700,16.346526451652313,48.18930846207201,31,105.0
A,LTE,3534,12,904716,286,1700,16.36752007988875,48.19003310326909,58,155.0
A,LTE,3534,22,904726,286,1871,16.36752007988875,48.19003310326909,58,155.0
A,LTE,1018,8,260616,110,6250,16.36513954438062,48.18413386677158,30,135.0
A,LTE,1018,6,260614,108,6250,16.36513954438062,48.18413386677158,30,60.0
A,LTE,1018,11,260619,108,1700,16.36513954438062,48.18413386677158,30,60.0
A,LTE,1018,23,260631,110,1871,16.36513954438062,48.18413386677158,30,135.0
A,LTE,1018,22,260630,109,1871,16.36513954438062,48.18413386677158,30,125.0
A,LTE,1018,21,260629,108,1871,16.36513954438062,48.18413386677158,30,60.0
A,LTE,1018,7,260615,109,6250,16.36513954438062,48.18413386677158,30,125.0
A,LTE,1018,12,260620,109,1700,16.36513954438062,48.18413386677158,30,125.0
A,LTE,1018,13,260621,110,1700,16.36513954438062,48.18413386677158,30,135.0
