measurement_id,time,latitude,longitude,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,pathloss_db,dl_throughput_mbps,ul_throughput_mbps,operator,timing_advance,frequency_khz,channel_number,pci,cell_id,enb_id,sector_id
0,2024-10-13 15:12:30.716,48.206005,16.340046,-104.4,-16.2,-68.3,-1.4,120.0,16.1,0.1,A,,2630000.0,2850,410,107011,418,3
1,2024-10-13 15:12:31.217,48.206009,16.339991,-103.5,-15.1,-68.3,0.2,119.0,13.5,0.1,A,,2630000.0,2850,410,107011,418,3
3,2024-10-13 15:12:31.720,48.206009,16.339991,-103.6,-14.2,-68.8,-1.3,119.0,12.9,0.1,A,,2630000.0,2850,410,107011,418,3
4,2024-10-13 15:12:32.220,48.206013,16.339924,-107.6,-17.6,-68.4,-2.7,121.0,19.9,0.9,A,,2630000.0,2850,410,107011,418,3
5,2024-10-13 15:12:32.722,48.206013,16.339924,-105.8,-15.9,-67.9,-4.1,122.0,15.7,0.2,A,,2630000.0,2850,410,107011,418,3
6,2024-10-13 15:12:33.222,48.206017,16.339848,-103.6,-15.9,-67.7,-0.9,122.0,14.4,0.3,A,,2630000.0,2850,410,107011,418,3
7,2024-10-13 15:12:33.725,48.206017,16.339848,-105.3,-17.6,-67.7,-4.2,122.0,15.3,0.3,A,,2630000.0,2850,410,107011,418,3
8,2024-10-13 15:12:34.225,48.20602,16.339767,-107.1,-19.1,-67.6,-3.6,123.0,12.2,0.3,A,,2630000.0,2850,410,107011,418,3
11,2024-10-13 15:12:34.726,48.20602,16.339767,-104.2,-16.5,-67.7,-1.8,121.0,6.9,0.2,A,,2630000.0,2850,410,107011,418,3
12,2024-10-13 15:12:35.226,48.206028,16.339684,-104.3,-16.3,-68.0,-1.7,120.0,11.8,0.3,A,,2630000.0,2850,410,107011,418,3
13,2024-10-13 15:12:35.730,48.206028,16.339684,-103.7,-16.1,-67.6,-0.6,122.0,17.9,0.5,A,,2630000.0,2850,410,107011,418,3
14,2024-10-13 15:12:36.241,48.206032,16.3396,-104.1,-17.6,-69.7,-0.1,124.0,17.3,0.2,A,,2630000.0,2850,410,107011,418,3
15,2024-10-13 15:12:36.744,48.206032,16.3396,-106.7,-19.6,-70.8,-0.9,125.0,10.0,0.3,A,,2630000.0,2850,410,107011,418,3
17,2024-10-13 15:12:37.246,48.206036,16.339514,-108.6,-17.8,-70.9,-3.2,124.0,16.2,0.4,A,,2630000.0,2850,410,107011,418,3
18,2024-10-13 15:12:37.748,48.206036,16.339514,-112.9,-20.7,-71.9,-5.4,126.0,10.2,0.2,A,,2630000.0,2850,410,107011,418,3
19,2024-10-13 15:12:38.250,48.206039,16.33943,-106.3,-17.4,-68.9,-4.1,122.0,5.6,0.2,A,,2630000.0,2850,409,107010,418,2
20,2024-10-13 15:12:38.768,48.206039,16.33943,-108.3,-17.2,-71.1,-4.1,123.0,10.4,0.2,A,8.0,2630000.0,2850,409,107010,418,2
21,2024-10-13 15:12:39.275,48.206047,16.339342,-109.6,-17.8,-71.8,-5.5,124.0,10.2,0.2,A,,2630000.0,2850,409,107010,418,2
23,2024-10-13 15:12:39.777,48.206047,16.339342,-108.1,-16.4,-70.3,-3.3,124.0,8.9,0.2,A,,2630000.0,2850,409,107010,418,2
24,2024-10-13 15:12:40.277,48.206051,16.339256,-106.8,-15.3,-71.4,-1.5,124.0,8.8,0.3,A,,2630000.0,2850,409,107010,418,2
25,2024-10-13 15:12:40.788,48.206051,16.339256,-109.1,-16.5,-71.8,-2.4,124.0,12.0,0.3,A,,2630000.0,2850,409,107010,418,2
26,2024-10-13 15:12:41.292,48.206055,16.339169,-107.1,-16.0,-70.4,-4.1,123.0,12.8,0.3,A,,2630000.0,2850,409,107010,418,2
27,2024-10-13 15:12:41.798,48.206055,16.339169,-107.5,-18.1,-71.6,-0.3,123.0,13.7,0.3,A,,2630000.0,2850,409,107010,418,2
29,2024-10-13 15:12:42.307,48.206059,16.339083,-100.3,-11.9,-68.5,2.3,123.0,11.8,0.0,A,7.0,2630000.0,2850,410,107011,418,3
30,2024-10-13 15:12:42.809,48.206059,16.339083,-103.4,-15.5,-69.6,-1.1,122.0,13.9,0.6,A,,2630000.0,2850,410,107011,418,3
31,2024-10-13 15:12:43.309,48.206062,16.338999,-104.8,-16.3,-68.6,-1.6,121.0,11.7,0.2,A,8.0,2630000.0,2850,410,107011,418,3
32,2024-10-13 15:12:43.809,48.206062,16.338999,-105.6,-14.8,-69.5,-0.6,120.0,14.7,0.2,A,,2630000.0,2850,410,107011,418,3
